source,target,value
./dare-to-say-no,,true
./dare-to-say-no,,true
./dare-to-say-no,http://manifesto.softwarecraftsmanship.org/,true
./dare-to-say-no,http://www.infoq.com/presentations/craftmanship-ethics,true
./dare-to-say-no,./index.html,false
./dare-to-say-no,mailto:essentials@xebia.com,true
./dare-to-say-no,http://www.xebia.com/,true
./context-over-habit,./dare-to-say-no,false
./context-over-habit,./improve-continuously,false
./context-over-habit,http://blogs.tedneward.com/2005/08/26/There+Is+No+Such+Thing+As+Best+Practices+Context+Matters.aspx,true
./context-over-habit,./index.html,false
./context-over-habit,mailto:essentials@xebia.com,true
./context-over-habit,http://www.xebia.com/,true
./diagnose-before-cure,./index.html,false
./diagnose-before-cure,mailto:essentials@xebia.com,true
./diagnose-before-cure,http://www.xebia.com/,true
./curiosity,http://www.lifehack.org/articles/productivity/4-reasons-why-curiosity-is-important-and-how-to-develop-it.html,true
./curiosity,./index.html,false
./curiosity,mailto:essentials@xebia.com,true
./curiosity,http://www.xebia.com/,true
./done,,true
./done,,true
./done,,true
./done,,true
./done,,true
./done,./code-review,false
./done,./done-is-live,false
./done,,true
./done,./code-review,false
./done,./test-everything,false
./done,./done-is-live,false
./done,./brutal-transparency,false
./done,./index.html,false
./done,mailto:essentials@xebia.com,true
./done,http://www.xebia.com/,true
./done-is-live,,true
./done-is-live,,true
./done-is-live,,true
./done-is-live,./index.html,false
./done-is-live,mailto:essentials@xebia.com,true
./done-is-live,http://www.xebia.com/,true
./do-the-right-thing,./index.html,false
./do-the-right-thing,mailto:essentials@xebia.com,true
./do-the-right-thing,http://www.xebia.com/,true
./dry-principle,,true
./dry-principle,,true
./dry-principle,,true
./dry-principle,,true
./dry-principle,,true
./dry-principle,,true
./dry-principle,,true
./dry-principle,http://www.artima.com/intv/dryP.html,true
./dry-principle,http://codebetter.com/blogs/karlseguin/archive/2009/09/12/unit-testing-do-repeat-yourself.aspx,true
./dry-principle,./index.html,false
./dry-principle,mailto:essentials@xebia.com,true
./dry-principle,http://www.xebia.com/,true
./eliminate-waste,,true
./eliminate-waste,,true
./eliminate-waste,,true
./eliminate-waste,,true
./eliminate-waste,,true
./eliminate-waste,http://www.agileadvice.com/archives/2005/04/eliminate_waste.html,true
./eliminate-waste,./index.html,false
./eliminate-waste,mailto:essentials@xebia.com,true
./eliminate-waste,http://www.xebia.com/,true
./fail-fast,./index.html,false
./fail-fast,mailto:essentials@xebia.com,true
./fail-fast,http://www.xebia.com/,true
./fallacies-distributed-computing,,true
./fallacies-distributed-computing,,true
./fallacies-distributed-computing,,true
./fallacies-distributed-computing,,true
./fallacies-distributed-computing,,true
./fallacies-distributed-computing,http://en.wikipedia.org/wiki/Fallacies_of_Distributed_Computing,true
./fallacies-distributed-computing,./index.html,false
./fallacies-distributed-computing,mailto:essentials@xebia.com,true
./fallacies-distributed-computing,http://www.xebia.com/,true
./focused-interfaces,,true
./focused-interfaces,,true
./focused-interfaces,,true
./focused-interfaces,,true
./focused-interfaces,,true
./focused-interfaces,,true
./focused-interfaces,,true
./focused-interfaces,http://www.objectmentor.com/resources/articles/isp.pdf,true
./focused-interfaces,http://www.sonarsource.org/clean-up-design-at-class-level-with-sonar/,true
./focused-interfaces,./index.html,false
./focused-interfaces,mailto:essentials@xebia.com,true
./focused-interfaces,http://www.xebia.com/,true
./focus-on-flow,,true
./focus-on-flow,,true
./focus-on-flow,,true
./focus-on-flow,,true
./focus-on-flow,,true
./focus-on-flow,,true
./focus-on-flow,./index.html,false
./focus-on-flow,mailto:essentials@xebia.com,true
./focus-on-flow,http://www.xebia.com/,true
./genchi-genbutsu,,true
./genchi-genbutsu,,true
./genchi-genbutsu,,true
./genchi-genbutsu,,true
./genchi-genbutsu,,true
./genchi-genbutsu,./make-it-visible,false
./genchi-genbutsu,./index.html,false
./genchi-genbutsu,mailto:essentials@xebia.com,true
./genchi-genbutsu,http://www.xebia.com/,true
./hands-off-machine,,true
./hands-off-machine,,true
./hands-off-machine,,true
./hands-off-machine,./index.html,false
./hands-off-machine,mailto:essentials@xebia.com,true
./hands-off-machine,http://www.xebia.com/,true
./have-fun,./index.html,false
./have-fun,mailto:essentials@xebia.com,true
./have-fun,http://www.xebia.com/,true
./heisenbergs-principle,,true
./heisenbergs-principle,,true
./heisenbergs-principle,,true
./heisenbergs-principle,http://code.google.com/p/multithreadedtc/,true
./heisenbergs-principle,,true
./heisenbergs-principle,,true
./heisenbergs-principle,http://en.wikipedia.org/wiki/Unusual_software_bug#Heisenbug,true
./heisenbergs-principle,http://portal.acm.org/citation.cfm?id=101328.101333,true
./heisenbergs-principle,./index.html,false
./heisenbergs-principle,mailto:essentials@xebia.com,true
./heisenbergs-principle,http://www.xebia.com/,true
./honor-the-timebox,./index.html,false
./honor-the-timebox,mailto:essentials@xebia.com,true
./honor-the-timebox,http://www.xebia.com/,true
./improve-continuously,,true
./improve-continuously,,true
./improve-continuously,,true
./improve-continuously,,true
./improve-continuously,,true
./improve-continuously,,true
./improve-continuously,http://www.codinghorror.com/blog/2006/08/the-programmers-bill-of-rights.html,true
./improve-continuously,http://en.wikipedia.org/wiki/Kaizen,true
./improve-continuously,./index.html,false
./improve-continuously,mailto:essentials@xebia.com,true
./improve-continuously,http://www.xebia.com/,true
./hurt-often,,true
./hurt-often,,true
./hurt-often,,true
./hurt-often,./automate-everything,false
./hurt-often,./small-increments,false
./hurt-often,,true
./hurt-often,,true
./hurt-often,./three-strikes,false
./hurt-often,./integrate-early,false
./hurt-often,https://github.com/blog/1241-deploying-at-github,true
./hurt-often,http://martinfowler.com/books/continuousDelivery.html,true
./hurt-often,./index.html,false
./hurt-often,mailto:essentials@xebia.com,true
./hurt-often,http://www.xebia.com/,true
./integrate-early,,true
./integrate-early,,true
./integrate-early,,true
./integrate-early,./index.html,false
./integrate-early,mailto:essentials@xebia.com,true
./integrate-early,http://www.xebia.com/,true
./learn-a-new-language,,true
./learn-a-new-language,,true
./learn-a-new-language,./index.html,false
./learn-a-new-language,mailto:essentials@xebia.com,true
./learn-a-new-language,http://www.xebia.com/,true
./kiss,,true
./kiss,,true
./kiss,,true
./kiss,,true
./kiss,http://en.wikipedia.org/wiki/KISS_principle,true
./kiss,http://people.apache.org/~fhanik/kiss.html,true
./kiss,./index.html,false
./kiss,mailto:essentials@xebia.com,true
./kiss,http://www.xebia.com/,true
./make-it-work-right-fast,./dry-principle,false
./make-it-work-right-fast,./index.html,false
./make-it-work-right-fast,mailto:essentials@xebia.com,true
./make-it-work-right-fast,http://www.xebia.com/,true
./make-it-visible,,true
./make-it-visible,,true
./make-it-visible,,true
./make-it-visible,,true
./make-it-visible,./make-it-visible#make-it-visible-codex,false
./make-it-visible,,true
./make-it-visible,,true
./make-it-visible,http://www.gapminder.org/,true
./make-it-visible,http://vis.stanford.edu/protovis/,true
./make-it-visible,http://code.google.com/apis/charttools/index.html,true
./make-it-visible,http://raphaeljs.com/,true
./make-it-visible,http://www.thebackofthenapkin.com/pdf/TBOTN_codex.pdf,true
./make-it-visible,./index.html,false
./make-it-visible,mailto:essentials@xebia.com,true
./make-it-visible,http://www.xebia.com/,true
./master-your-tools,./index.html,false
./master-your-tools,mailto:essentials@xebia.com,true
./master-your-tools,http://www.xebia.com/,true
./maximize-cohesion-minimize-coupling,./maximize-cohesion-minimize-coupling#maximize-cohesion-minimize-coupling-sessions,false
./maximize-cohesion-minimize-coupling,./index.html,false
./maximize-cohesion-minimize-coupling,mailto:essentials@xebia.com,true
./maximize-cohesion-minimize-coupling,http://www.xebia.com/,true
./no-anemic-domain-model,http://www.martinfowler.com/bliki/AnemicDomainModel.html,true
./no-anemic-domain-model,./index.html,false
./no-anemic-domain-model,mailto:essentials@xebia.com,true
./no-anemic-domain-model,http://www.xebia.com/,true
./no-blame-no-mercy,,true
./no-blame-no-mercy,,true
./no-blame-no-mercy,,true
./no-blame-no-mercy,,true
./no-blame-no-mercy,,true
./no-blame-no-mercy,,true
./no-blame-no-mercy,,true
./no-blame-no-mercy,./index.html,false
./no-blame-no-mercy,mailto:essentials@xebia.com,true
./no-blame-no-mercy,http://www.xebia.com/,true
./no-broken-builds,,true
./no-broken-builds,,true
./no-broken-builds,,true
./no-broken-builds,,true
./no-broken-builds,,true
./no-broken-builds,,true
./no-broken-builds,,true
./no-broken-builds,./index.html,false
./no-broken-builds,mailto:essentials@xebia.com,true
./no-broken-builds,http://www.xebia.com/,true
./no-multitasking,,true
./no-multitasking,,true
./no-multitasking,http://en.wikipedia.org/wiki/Brown_Noise,true
./no-multitasking,,true
./no-multitasking,,true
./no-multitasking,http://www.codinghorror.com/blog/2006/09/the-multi-tasking-myth.html,true
./no-multitasking,http://thetruthyoualwaysknew.com/2013/04/21/multitasking-is-impossible-focus-deeply-on-the-task-at-hand/,true
./no-multitasking,http://www.forbes.com/sites/douglasmerrill/2012/08/17/why-multitasking-doesnt-work/,true
./no-multitasking,./index.html,false
./no-multitasking,mailto:essentials@xebia.com,true
./no-multitasking,http://www.xebia.com/,true
./no-broken-windows,,true
./no-broken-windows,,true
./no-broken-windows,,true
./no-broken-windows,,true
./no-broken-windows,,true
./no-broken-windows,,true
./no-broken-windows,http://en.wikipedia.org/wiki/Broken_window_theory,true
./no-broken-windows,./index.html,false
./no-broken-windows,mailto:essentials@xebia.com,true
./no-broken-windows,http://www.xebia.com/,true
./non-functionals,,true
./non-functionals,,true
./non-functionals,,true
./non-functionals,,true
./non-functionals,,true
./non-functionals,http://books.google.nl/books?id=ejxQF60xVV0C&dq=competitive+engineering&printsec=frontcover&source=bn&hl=nl&ei=UMSATPmeF4L_Ocq-rNIJ&sa=X&oi=book_result&ct=result&resnum=4&ved=0CDAQ6AEwAw#v=onepage&q&f=false,true
./non-functionals,./index.html,false
./non-functionals,mailto:essentials@xebia.com,true
./non-functionals,http://www.xebia.com/,true
./no-test-no-bugfix,,true
./no-test-no-bugfix,,true
./no-test-no-bugfix,,true
./no-test-no-bugfix,,true
./no-test-no-bugfix,,true
./no-test-no-bugfix,,true
./no-test-no-bugfix,http://theruntime.com/blogs/jacob/archive/2008/01/22/tdd-proven-effective-or-is-it.aspx,true
./no-test-no-bugfix,./index.html,false
./no-test-no-bugfix,mailto:essentials@xebia.com,true
./no-test-no-bugfix,http://www.xebia.com/,true
./no-museum,./index.html,false
./no-museum,mailto:essentials@xebia.com,true
./no-museum,http://www.xebia.com/,true
./one-change-at-a-time,./small-increments,false
./one-change-at-a-time,./index.html,false
./one-change-at-a-time,mailto:essentials@xebia.com,true
./one-change-at-a-time,http://www.xebia.com/,true
./one-feature-at-a-time,,true
./one-feature-at-a-time,,true
./one-feature-at-a-time,,true
./one-feature-at-a-time,,true
./one-feature-at-a-time,,true
./one-feature-at-a-time,http://www.softwarebynumbers.org/,true
./one-feature-at-a-time,http://blog.xebia.com/2010/07/21/service-integration-at-the-presentation-layer/,true
./one-feature-at-a-time,./index.html,false
./one-feature-at-a-time,mailto:essentials@xebia.com,true
./one-feature-at-a-time,http://www.xebia.com/,true
./readable-code,,true
./readable-code,,true
./readable-code,,true
./readable-code,,true
./readable-code,,true
./readable-code,,true
./readable-code,,true
./readable-code,http://www.softwarequotes.com/showquotes.aspx?id=573&name=Fowler,Martin,true
./readable-code,http://www.informit.com/title/0321413091,true
./readable-code,./index.html,false
./readable-code,mailto:essentials@xebia.com,true
./readable-code,http://www.xebia.com/,true
./poutsma-principle,,true
./poutsma-principle,,true
./poutsma-principle,,true
./poutsma-principle,,true
./poutsma-principle,,true
./poutsma-principle,,true
./poutsma-principle,,true
./poutsma-principle,./kiss,false
./poutsma-principle,./index.html,false
./poutsma-principle,mailto:essentials@xebia.com,true
./poutsma-principle,http://www.xebia.com/,true
./pair-programming,./pair-programming#pair-programming-james_shore,false
./pair-programming,./pair-programming#pair-programming-ifuld,false
./pair-programming,./alone-time,false
./pair-programming,./pair-programming#pair-programming-ifuld,false
./pair-programming,http://jamesshore.com/Agile-Book/pair_programming.html,true
./pair-programming,http://blog.xebia.com/2010/05/09/practical-styles-of-pair-programming/,true
./pair-programming,./index.html,false
./pair-programming,mailto:essentials@xebia.com,true
./pair-programming,http://www.xebia.com/,true
./rich-communication,./the-zone,false
./rich-communication,./index.html,false
./rich-communication,mailto:essentials@xebia.com,true
./rich-communication,http://www.xebia.com/,true
./secure-development,,true
./secure-development,,true
./secure-development,,true
./secure-development,,true
./secure-development,https://www.owasp.org/index.php/Main_Page,true
./secure-development,./index.html,false
./secure-development,mailto:essentials@xebia.com,true
./secure-development,http://www.xebia.com/,true
./separation-of-concerns,./maximize-cohesion-minimize-coupling,false
./separation-of-concerns,http://en.wikipedia.org/wiki/List_of_pioneers_in_computer_science,true
./separation-of-concerns,./index.html,false
./separation-of-concerns,mailto:essentials@xebia.com,true
./separation-of-concerns,http://www.xebia.com/,true
./small-increments,./one-change-at-a-time,false
./small-increments,./thirty-minute-methods,false
./small-increments,./index.html,false
./small-increments,mailto:essentials@xebia.com,true
./small-increments,http://www.xebia.com/,true
./team-member-equality,./index.html,false
./team-member-equality,mailto:essentials@xebia.com,true
./team-member-equality,http://www.xebia.com/,true
./shared-design-understanding,./index.html,false
./shared-design-understanding,mailto:essentials@xebia.com,true
./shared-design-understanding,http://www.xebia.com/,true
./team-rhythm,,true
./team-rhythm,,true
./team-rhythm,,true
./team-rhythm,,true
./team-rhythm,,true
./team-rhythm,./index.html,false
./team-rhythm,mailto:essentials@xebia.com,true
./team-rhythm,http://www.xebia.com/,true
./the-zone,,true
./the-zone,,true
./the-zone,,true
./the-zone,,true
./the-zone,,true
./the-zone,,true
./the-zone,,true
./the-zone,./pair-programming,false
./the-zone,http://scholar.google.com/scholar?hl=en&q=Cs%C3%ADkszentmih%C3%A1lyi+flow&btnG=Search&as_sdt=2000&as_ylo=&as_vis=0,true
./the-zone,./index.html,false
./the-zone,mailto:essentials@xebia.com,true
./the-zone,http://www.xebia.com/,true
./thread-safe,,true
./thread-safe,,true
./thread-safe,,true
./thread-safe,,true
./thread-safe,./index.html,false
./thread-safe,mailto:essentials@xebia.com,true
./thread-safe,http://www.xebia.com/,true
./test-everything,./index.html,false
./test-everything,mailto:essentials@xebia.com,true
./test-everything,http://www.xebia.com/,true
./test-code-one,http://www.agitar.com/downloads/TheWayOfTestivus.pdf,true
./test-code-one,./index.html,false
./test-code-one,mailto:essentials@xebia.com,true
./test-code-one,http://www.xebia.com/,true
./thirty-minute-methods,,true
./thirty-minute-methods,,true
./thirty-minute-methods,,true
./thirty-minute-methods,,true
./thirty-minute-methods,,true
./thirty-minute-methods,,true
./thirty-minute-methods,./index.html,false
./thirty-minute-methods,mailto:essentials@xebia.com,true
./thirty-minute-methods,http://www.xebia.com/,true
./index.html,./cards,false
./index.html,mailto:essentials@xebia.com,true
./index.html,http://www.xebia.com/,true
./three-strikes,./index.html,false
./three-strikes,mailto:essentials@xebia.com,true
./three-strikes,http://www.xebia.com/,true
./timebox,,true
./timebox,,true
./timebox,,true
./timebox,,true
./timebox,,true
./timebox,,true
./timebox,,true
./timebox,./index.html,false
./timebox,mailto:essentials@xebia.com,true
./timebox,http://www.xebia.com/,true
./time-for-tech-debt,,true
./time-for-tech-debt,,true
./time-for-tech-debt,,true
./time-for-tech-debt,,true
./time-for-tech-debt,,true
./time-for-tech-debt,,true
./time-for-tech-debt,,true
./time-for-tech-debt,./dare-to-say-no,false
./time-for-tech-debt,./index.html,false
./time-for-tech-debt,mailto:essentials@xebia.com,true
./time-for-tech-debt,http://www.xebia.com/,true
./two-minute-rule,,true
./two-minute-rule,,true
./two-minute-rule,,true
./two-minute-rule,,true
./two-minute-rule,,true
./two-minute-rule,,true
./two-minute-rule,,true
./two-minute-rule,https://blogs.akamai.com/2013/10/you-must-try-and-then-you-must-ask.html,true
./two-minute-rule,./index.html,false
./two-minute-rule,mailto:essentials@xebia.com,true
./two-minute-rule,http://www.xebia.com/,true
./make-it-visible#make-it-visible-codex,,true
./make-it-visible#make-it-visible-codex,,true
./make-it-visible#make-it-visible-codex,,true
./make-it-visible#make-it-visible-codex,,true
./make-it-visible#make-it-visible-codex,./make-it-visible#make-it-visible-codex,false
./make-it-visible#make-it-visible-codex,,true
./make-it-visible#make-it-visible-codex,,true
./make-it-visible#make-it-visible-codex,http://www.gapminder.org/,true
./make-it-visible#make-it-visible-codex,http://vis.stanford.edu/protovis/,true
./make-it-visible#make-it-visible-codex,http://code.google.com/apis/charttools/index.html,true
./make-it-visible#make-it-visible-codex,http://raphaeljs.com/,true
./make-it-visible#make-it-visible-codex,http://www.thebackofthenapkin.com/pdf/TBOTN_codex.pdf,true
./make-it-visible#make-it-visible-codex,./index.html,false
./make-it-visible#make-it-visible-codex,mailto:essentials@xebia.com,true
./make-it-visible#make-it-visible-codex,http://www.xebia.com/,true
./maximize-cohesion-minimize-coupling#maximize-cohesion-minimize-coupling-sessions,./maximize-cohesion-minimize-coupling#maximize-cohesion-minimize-coupling-sessions,false
./maximize-cohesion-minimize-coupling#maximize-cohesion-minimize-coupling-sessions,./index.html,false
./maximize-cohesion-minimize-coupling#maximize-cohesion-minimize-coupling-sessions,mailto:essentials@xebia.com,true
./maximize-cohesion-minimize-coupling#maximize-cohesion-minimize-coupling-sessions,http://www.xebia.com/,true
./pair-programming#pair-programming-ifuld,./pair-programming#pair-programming-james_shore,false
./pair-programming#pair-programming-ifuld,./pair-programming#pair-programming-ifuld,false
./pair-programming#pair-programming-ifuld,./alone-time,false
./pair-programming#pair-programming-ifuld,./pair-programming#pair-programming-ifuld,false
./pair-programming#pair-programming-ifuld,http://jamesshore.com/Agile-Book/pair_programming.html,true
./pair-programming#pair-programming-ifuld,http://blog.xebia.com/2010/05/09/practical-styles-of-pair-programming/,true
./pair-programming#pair-programming-ifuld,./index.html,false
./pair-programming#pair-programming-ifuld,mailto:essentials@xebia.com,true
./pair-programming#pair-programming-ifuld,http://www.xebia.com/,true
./pair-programming#pair-programming-james_shore,./pair-programming#pair-programming-james_shore,false
./pair-programming#pair-programming-james_shore,./pair-programming#pair-programming-ifuld,false
./pair-programming#pair-programming-james_shore,./alone-time,false
./pair-programming#pair-programming-james_shore,./pair-programming#pair-programming-ifuld,false
./pair-programming#pair-programming-james_shore,http://jamesshore.com/Agile-Book/pair_programming.html,true
./pair-programming#pair-programming-james_shore,http://blog.xebia.com/2010/05/09/practical-styles-of-pair-programming/,true
./pair-programming#pair-programming-james_shore,./index.html,false
./pair-programming#pair-programming-james_shore,mailto:essentials@xebia.com,true
./pair-programming#pair-programming-james_shore,http://www.xebia.com/,true
